19,Front-Wheel Drive,1900,Regular Gasoline,Dodge,Aries,Automatic 3-spd,Midsize Cars,1985,-2750,
20,Front-Wheel Drive,2150,Premium Gasoline,Mazda,626,Automatic 4-spd,Midsize Cars,1997,-4000,
20,Front-Wheel Drive,2150,Premium Gasoline,Mazda,626,Manual 5-spd,Midsize Cars,1997,-4000,
26,Rear-Wheel Drive,1500,Diesel,Mercedes-Benz,E300 Diesel,Automatic 5-spd,Midsize Cars,1997,-750,
20,Rear-Wheel Drive,2150,Premium Gasoline,Mercedes-Benz,E320,Automatic 5-spd,Midsize Cars,1997,-4000,
18,Rear-Wheel Drive,2400,Premium Gasoline,Mercedes-Benz,E420,Automatic 5-spd,Midsize Cars,1997,-5250,
18,Front-Wheel Drive,2400,Premium Gasoline,Oldsmobile,Aurora,Automatic 4-spd,Midsize Cars,1997,-5250,
21,Front-Wheel Drive,1700,Regular Gasoline,Oldsmobile,Cutlass,Automatic 4-spd,Midsize Cars,1997,-1750,
21,Front-Wheel Drive,1700,Regular Gasoline,Oldsmobile,Cutlass Supreme,Automatic 4-spd,Midsize Cars,1997,-1750,
18,Front-Wheel Drive,2000,Regular Gasoline,Oldsmobile,Cutlass Supreme,Automatic 4-spd,Midsize Cars,1997,-3250,
19,Front-Wheel Drive,2250,Premium Gasoline,Mitsubishi,Diamante,Automatic 4-spd,Midsize Cars,1997,-4500,
16,Rear-Wheel Drive,2700,Premium Gasoline,Dodge,Diplomat,Automatic 3-spd,Midsize Cars,1985,-6750,
23,Front-Wheel Drive,1550,Regular Gasoline,Plymouth,Breeze,Automatic 4-spd,Midsize Cars,1997,-1000,
27,Front-Wheel Drive,1300,Regular Gasoline,Plymouth,Breeze,Manual 5-spd,Midsize Cars,1997,250,
21,Front-Wheel Drive,1700,Regular Gasoline,Pontiac,Grand Prix,Automatic 4-spd,Midsize Cars,1997,-1750,
19,Front-Wheel Drive,2250,Premium Gasoline,Pontiac,Grand Prix,Automatic 4-spd,Midsize Cars,1997,-4500,
20,Front-Wheel Drive,1800,Regular Gasoline,Pontiac,Grand Prix,Automatic 4-spd,Midsize Cars,1997,-2250,
12,Rear-Wheel Drive,-1,Premium,12,Rolls-Royce,0.0,0,Midsize Cars,1997,
12,Rear-Wheel Drive,3600,Premium Gasoline,Rolls-Royce,Brooklands,Automatic 4-spd,Midsize Cars,1997,-11250,
12,Rear-Wheel Drive,-1,Premium,12,Rolls-Royce,0.0,0,Midsize Cars,1997,
12,Rear-Wheel Drive,3600,Premium Gasoline,Rolls-Royce,Silver Dawn,Automatic 4-spd,Midsize Cars,1997,-11250,
12,Rear-Wheel Drive,-1,Premium,12,Rolls-Royce,0.0,0,Midsize Cars,1997,
